ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-0-916573-76-8,Persistent global core,Lesley Parry,Fiction,1970,7,2018-05-31,Missing,978-0-916573-76-8
978-1-266-22549-9,Sharable mission-critical leverage,Nicole Elliott,Fiction,1989,2,2017-12-13,Reserved,978-1-266-22549-9
9780369309143,Organic needs-based groupware,Mohamed Jones-Taylor,Non-Fiction,2019,10,2021-08-23,Reserved,9780369309143
978-0-527-31172-8,Synchronized 3rdgeneration success,Lindsey Booth-Frost,Young Adult,1991,8,2017-05-23,Available,978-0-527-31172-8
978-1-4147-5690-5,User-centric explicit contingency,Kenneth Naylor-Manning,Young Adult,2019,1,2026-01-09,Damaged,978-1-4147-5690-5
978-0-8429-3359-9,Public-key intermediate portal,Leah Scott,Reference,1967,2,2021-09-20,Reserved,978-0-8429-3359-9
978-1-4229-8359-1,Re-engineered national benchmark,Kieran Newton,Fiction,2008,9,2023-07-07,Damaged,978-1-4229-8359-1
978-1-77153-902-9,Universal local throughput,Ms Mandy Taylor,Fiction,1977,1,2025-05-21,Available,978-1-77153-902-9
978-1-247-36500-8,Function-based bifurcated alliance,Caroline Lloyd,Reference,1957,8,2020-05-12,Checked Out,978-1-247-36500-8
978-0-9909006-4-1,Diverse next generation implementation,Hannah Rees-Wallace,Children,2021,0,2017-10-02,Missing,978-0-9909006-4-1
978-1-144-27873-9,Phased solution-oriented application,Julia Wright,Reference,1994,4,2023-04-11,Reserved,978-1-144-27873-9
978-1-4042-3169-6,Compatible static definition,Mohamed Walker-Pugh,Reference,2008,8,2019-01-29,Missing,978-1-4042-3169-6
978-0-06-754939-1,Ameliorated dynamic Internet solution,Ben Price-Davison,Fiction,1984,8,2021-09-09,Checked Out,978-0-06-754939-1
978-1-396-90453-0,Pre-emptive client-server parallelism,Jamie Hammond,Non-Fiction,1982,6,2016-10-17,Reserved,978-1-396-90453-0
978-1-287-83573-8,Automated attitude-oriented moratorium,Miss Abigail Brown,Reference,1998,7,2024-01-27,Checked Out,978-1-287-83573-8
978-0-330-73453-0,Versatile empowering forecast,Norman Taylor,Young Adult,1957,2,2025-04-21,Available,978-0-330-73453-0
978-0-236-41224-2,Realigned attitude-oriented solution,Anthony Jones,Non-Fiction,1958,10,2019-03-04,Missing,978-0-236-41224-2
9781098537203,Implemented radical adapter,Dr Stewart Clayton,Fiction,2004,6,2017-12-02,Damaged,9781098537203
978-0-505-16023-2,Multi-layered dedicated encoding,Harry Frost,Children,1957,5,2018-06-26,Missing,978-0-505-16023-2
978-1-107-15558-9,Team-oriented full-range task-force,Marc Hayes,Reference,2010,10,2025-10-01,Reserved,978-1-107-15558-9
978-0-940422-45-2,Team-oriented actuating standardization,Dr Jake Cooper,Non-Fiction,1953,8,2020-07-23,Damaged,978-0-940422-45-2
978-1-119-92551-4,Robust dynamic capability,Justin Roberts,Reference,1951,3,2024-03-27,Damaged,978-1-119-92551-4
978-1-380-78191-8,Enhanced tertiary projection,Amber Williams,Reference,1972,10,2020-03-10,Reserved,978-1-380-78191-8
978-1-05-349419-0,Right-sized heuristic info-mediaries,Leah Smith,Non-Fiction,2006,1,2023-04-17,Checked Out,978-1-05-349419-0
978-0-575-57166-2,Pre-emptive executive contingency,Pamela Martin,Young Adult,2017,8,2019-06-01,Damaged,978-0-575-57166-2
978-0-8246-3061-4,Centralized optimizing customer loyalty,Dr Steven Cooper,Fiction,1986,1,2024-03-03,Reserved,978-0-8246-3061-4
978-0-18-563520-4,Vision-oriented cohesive installation,Natasha Smith,Children,2012,8,2022-02-08,Available,978-0-18-563520-4
978-1-61504-205-0,Adaptive eco-centric budgetary management,Sheila Turner,Non-Fiction,2006,3,2019-11-14,Available,978-1-61504-205-0
978-1-69771-433-3,Progressive reciprocal info-mediaries,Janet Wright,Children,1971,1,2022-11-12,Damaged,978-1-69771-433-3
9780809010141,Pre-emptive zero tolerance concept,Gordon Scott,Children,1999,2,2019-08-31,Reserved,9780809010141
978-0-03-927888-5,Versatile intermediate initiative,Max Watkins-Pearson,Young Adult,1985,4,2018-06-11,Checked Out,978-0-03-927888-5
978-0-04-616388-4,Mandatory tangible solution,Bernard Lee-Brown,Non-Fiction,1964,7,2017-07-16,Missing,978-0-04-616388-4
9781878518569,Profound 3rdgeneration installation,Miss Karen Thompson,Non-Fiction,2007,3,2019-07-13,Available,9781878518569
978-1-09-656882-7,Devolved client-driven customer loyalty,Danielle Shah,Children,2011,6,2023-04-22,Damaged,978-1-09-656882-7
978-1-280-07272-7,Distributed 6thgeneration collaboration,Rosemary Byrne,Non-Fiction,1954,8,2026-05-23,Reserved,978-1-280-07272-7
978-0-472-37356-7,Re-engineered intermediate infrastructure,Dr Clive Bishop,Fiction,2006,8,2023-05-28,Reserved,978-0-472-37356-7
978-0-7830-8306-3,Innovative discrete throughput,Rita Dixon-Cross,Young Adult,1982,0,2020-11-30,Available,978-0-7830-8306-3
978-1-145-49836-5,User-centric homogeneous synergy,Megan Frost,Children,2006,7,2023-06-22,Reserved,978-1-145-49836-5
978-0-467-49066-8,Networked incremental service-desk,Rosemary Parry,Young Adult,1999,2,2026-03-06,Available,978-0-467-49066-8
978-1-5185-7116-9,Decentralized contextually-based ability,Dr Edward Robinson,Reference,2012,8,2021-06-07,Reserved,978-1-5185-7116-9
978-1-60595-634-3,Vision-oriented incremental matrices,Dr Matthew Smith,Young Adult,1993,10,2019-12-25,Checked Out,978-1-60595-634-3
978-0-8073-9200-3,Assimilated hybrid toolset,Clifford Thompson,Children,1993,10,2024-10-17,Reserved,978-0-8073-9200-3
978-1-85653-377-5,User-friendly real-time secured line,Tracey Ward,Non-Fiction,1983,5,2020-03-23,Missing,978-1-85653-377-5
9780031678713,Mandatory context-sensitive pricing structure,Mr Julian King,Young Adult,2001,7,2017-09-27,Checked Out,9780031678713
978-1-154-87201-9,Ergonomic impactful circuit,Bethan Parry-Clements,Reference,1972,9,2019-02-27,Missing,978-1-154-87201-9
978-1-02-545500-6,Polarized methodical portal,Sandra Humphreys,Fiction,2009,2,2022-04-30,Checked Out,978-1-02-545500-6
978-1-908099-83-9,Upgradable actuating collaboration,Dale Moore,Young Adult,2010,9,2026-02-08,Reserved,978-1-908099-83-9
978-1-7388724-6-6,Diverse systematic info-mediaries,Annette Taylor,Fiction,2005,10,2019-02-20,Available,978-1-7388724-6-6
978-1-303-43830-1,Cross-group discrete functionalities,Andrew O'Connor-Bryant,Fiction,1990,4,2021-01-01,Available,978-1-303-43830-1
9780914352945,Intuitive attitude-oriented framework,Mr Craig Brown,Non-Fiction,2016,2,2025-07-04,Damaged,9780914352945
978-0-7417-9965-4,Compatible zero administration paradigm,Lorraine Hughes,Non-Fiction,2021,6,2021-05-12,Missing,978-0-7417-9965-4
978-1-62897-351-8,Operative needs-based functionalities,Annette Smith,Reference,1977,3,2025-10-25,Missing,978-1-62897-351-8
978-0-252-75600-9,Stand-alone fault-tolerant Local Area Network,Mrs Amy Shepherd,Non-Fiction,1975,8,2021-10-23,Missing,978-0-252-75600-9
9780302340561,Horizontal optimal secured line,Dr Neil O'Sullivan,Reference,1999,2,2019-07-13,Checked Out,9780302340561
9781125158906,Adaptive multi-state budgetary management,Emma Evans,Children,1982,6,2017-11-27,Missing,9781125158906
978-0-8280-5166-8,Down-sized empowering adapter,Shane Davison,Young Adult,1973,9,2020-08-14,Damaged,978-0-8280-5166-8
978-0-8123-9278-4,Programmable homogeneous standardization,Mr Mohammad Hill,Young Adult,1961,0,2024-02-06,Checked Out,978-0-8123-9278-4
978-1-79098-636-1,Multi-tiered explicit help-desk,Lesley Lewis,Children,2001,5,2021-01-19,Damaged,978-1-79098-636-1
978-1-276-95844-8,Expanded bottom-line analyzer,Dr Guy Mason,Children,2020,0,2020-11-15,Missing,978-1-276-95844-8
978-0-02-248248-0,Assimilated content-based array,Marie Williams,Children,1975,7,2018-05-27,Available,978-0-02-248248-0
978-0-13-737145-7,Multi-layered dynamic encoding,Dennis Smith,Children,2024,2,2019-03-13,Damaged,978-0-13-737145-7
978-0-11-802669-7,Integrated background concept,Jeffrey Jones,Non-Fiction,2011,3,2024-10-26,Reserved,978-0-11-802669-7
978-1-193-96061-6,Public-key neutral access,Fiona Mitchell,Fiction,2001,0,2017-01-24,Available,978-1-193-96061-6
978-1-71891-199-4,Robust systemic customer loyalty,Ms Shannon Hammond,Fiction,1969,6,2016-07-03,Damaged,978-1-71891-199-4
978-1-69247-688-5,Secured multi-tasking knowledgebase,Dr Ronald Webster,Children,1999,10,2023-12-19,Available,978-1-69247-688-5
978-1-103-41413-0,Proactive transitional approach,Dawn Jones,Reference,2005,1,2023-05-01,Reserved,978-1-103-41413-0
978-0-18-140513-9,Persevering 6thgeneration attitude,Jayne Brown,Reference,1954,9,2022-02-11,Available,978-0-18-140513-9
978-1-179-04470-5,Automated content-based focus group,Elizabeth Gilbert,Fiction,1956,9,2021-11-19,Available,978-1-179-04470-5
978-1-09-406714-8,Compatible 5thgeneration array,Jasmine Thorpe,Young Adult,2000,5,2017-07-12,Missing,978-1-09-406714-8
978-0-10-314564-8,Ergonomic global system engine,Elliott Khan,Children,1989,5,2024-05-13,Reserved,978-0-10-314564-8
978-1-227-57940-1,Realigned 3rdgeneration analyzer,Dr Dennis Lawrence,Non-Fiction,1954,0,2021-08-01,Available,978-1-227-57940-1
978-1-03-374499-4,Open-source content-based toolset,Hugh Roberts,Young Adult,2016,4,2017-05-08,Damaged,978-1-03-374499-4
9780933913691,Networked client-driven moratorium,Michelle Barker-Smith,Non-Fiction,2012,4,2020-11-18,Checked Out,9780933913691
978-0-264-10603-8,Networked regional algorithm,Jeremy Hughes-Thompson,Fiction,1990,2,2018-03-05,Checked Out,978-0-264-10603-8
978-1-75318-057-7,Upgradable asymmetric throughput,Nigel Bradshaw,Children,2020,9,2021-04-21,Missing,978-1-75318-057-7
978-0-10-108965-4,Triple-buffered needs-based hardware,Jasmine Butler,Young Adult,1975,0,2018-05-23,Damaged,978-0-10-108965-4
9781125360644,Multi-tiered clear-thinking standardization,Victoria Jenkins-Barlow,Non-Fiction,1970,1,2025-07-14,Damaged,9781125360644
9780474867941,Realigned impactful encoding,Teresa Brooks,Young Adult,1997,6,2025-09-22,Missing,9780474867941
978-1-84817-036-0,Persistent multi-state implementation,Leonard Berry,Fiction,1955,7,2020-08-14,Available,978-1-84817-036-0
978-0-07-701773-6,Phased uniform open system,Dr Diana Howell,Reference,2001,1,2023-05-18,Available,978-0-07-701773-6
978-1-949330-78-6,Upgradable reciprocal hierarchy,Mrs Jayne Stanley,Young Adult,1961,3,2023-05-18,Reserved,978-1-949330-78-6
978-0-17-196004-4,Switchable incremental Internet solution,Ms Elizabeth Cross,Fiction,1968,5,2025-01-14,Available,978-0-17-196004-4
978-0-14-441559-5,Extended system-worthy productivity,Derek Carey,Fiction,2002,4,2022-01-08,Checked Out,978-0-14-441559-5
978-1-4333-8496-7,Multi-tiered value-added flexibility,Mr Benjamin Barnett,Non-Fiction,2008,6,2025-10-09,Reserved,978-1-4333-8496-7
978-1-239-17033-7,Streamlined background middleware,Diane Adams-Roberts,Non-Fiction,1989,9,2025-09-22,Reserved,978-1-239-17033-7
978-0-00-499926-5,Decentralized user-facing ability,Anne Barker,Young Adult,1993,2,2016-12-31,Damaged,978-0-00-499926-5
978-1-361-97731-6,Public-key disintermediate Graphic Interface,Shaun Woods,Children,1957,5,2024-03-19,Checked Out,978-1-361-97731-6
978-0-946248-72-8,Programmable 3rdgeneration standardization,Nathan Ward,Children,2013,7,2020-04-04,Reserved,978-0-946248-72-8
978-1-86539-276-9,Enhanced uniform knowledge user,Charlene Austin,Fiction,1960,6,2018-04-19,Available,978-1-86539-276-9
978-0-413-49317-0,Object-based 3rdgeneration Internet solution,Denis Murphy-Simmons,Non-Fiction,2015,5,2020-02-27,Missing,978-0-413-49317-0
978-1-06-055817-5,Adaptive regional artificial intelligence,Dr Toby Richards,Children,1974,8,2025-03-18,Missing,978-1-06-055817-5
978-1-79211-625-4,Cross-platform bandwidth-monitored process improvement,Max Walters-Long,Young Adult,1993,5,2024-06-16,Missing,978-1-79211-625-4
978-1-989354-64-3,Optional tangible approach,Dr Brandon Allen,Reference,2013,5,2018-11-14,Missing,978-1-989354-64-3
978-0-9897014-5-7,Enterprise-wide dynamic challenge,Lewis Williams-Marshall,Non-Fiction,1957,4,2018-11-24,Available,978-0-9897014-5-7
978-1-03-934271-2,Total global software,Jessica Reeves-Moore,Children,1991,2,2023-10-27,Missing,978-1-03-934271-2
978-1-925529-05-0,Extended bottom-line architecture,Chloe Brown,Non-Fiction,1979,0,2023-10-26,Available,978-1-925529-05-0
978-0-600-01101-9,Persistent composite conglomeration,Lynn Smith,Young Adult,1985,3,2017-03-02,Available,978-0-600-01101-9
978-1-161-97384-6,Implemented static service-desk,Anthony Hurst,Non-Fiction,1967,9,2025-01-04,Damaged,978-1-161-97384-6
978-0-213-00882-6,Reactive non-volatile capacity,Eric Smith,Young Adult,1985,4,2026-05-12,Reserved,978-0-213-00882-6
978-1-69908-672-8,Ameliorated real-time structure,Dr Lesley Potter,Non-Fiction,1979,2,2020-11-10,Missing,978-1-69908-672-8
9780104481776,Enterprise-wide dynamic toolset,Lorraine Porter,Children,1994,10,2025-03-26,Damaged,9780104481776
978-1-55619-221-0,Devolved eco-centric collaboration,Bryan Scott,Reference,2004,7,2023-12-03,Reserved,978-1-55619-221-0
978-0-06-318641-5,Multi-tiered directional parallelism,Rosemary White,Fiction,1987,7,2023-02-12,Damaged,978-0-06-318641-5
978-1-130-23641-5,Optimized demand-driven database,Terry Johnson,Non-Fiction,1983,10,2018-03-29,Damaged,978-1-130-23641-5
978-0-683-59916-9,Progressive 4thgeneration access,Natalie Graham,Children,2011,2,2017-01-17,Missing,978-0-683-59916-9
978-1-4032-3919-8,Vision-oriented web-enabled service-desk,Dennis Brown-Nelson,Non-Fiction,1987,1,2026-05-04,Missing,978-1-4032-3919-8
978-0-528-26712-3,Vision-oriented systemic customer loyalty,Dawn Collins,Fiction,2002,7,2023-03-10,Available,978-0-528-26712-3
978-0-7949-9952-0,Team-oriented dynamic info-mediaries,Tracy Henry,Fiction,1954,9,2018-09-02,Missing,978-0-7949-9952-0
9781296444846,Reactive background neural-net,Scott Ward,Young Adult,2021,4,2022-10-24,Reserved,9781296444846
978-1-86811-143-5,Synchronized solution-oriented paradigm,Clive Perry,Non-Fiction,2015,2,2023-05-19,Missing,978-1-86811-143-5
978-0-640-98058-0,Synergized global complexity,Jasmine Davies,Reference,1981,1,2022-02-07,Damaged,978-0-640-98058-0
978-1-155-59062-2,Organic coherent hardware,Janice Murphy,Children,1966,1,2017-04-02,Checked Out,978-1-155-59062-2
978-1-902591-20-9,Digitized client-driven software,Mr Eric Warren,Reference,1966,6,2023-07-15,Reserved,978-1-902591-20-9
9781372162664,Ameliorated optimal adapter,Jane Smith,Reference,1994,9,2025-10-14,Damaged,9781372162664
978-0-235-84180-7,Integrated explicit emulation,Christopher Campbell,Fiction,1973,4,2019-10-14,Missing,978-0-235-84180-7
978-1-59997-737-9,Focused directional orchestration,Ms Barbara Marshall,Reference,1959,0,2024-08-17,Reserved,978-1-59997-737-9
978-1-79551-924-3,Optimized high-level analyzer,Mr Darren Coleman,Children,2010,9,2021-10-10,Missing,978-1-79551-924-3
978-1-111-73670-5,Profit-focused fault-tolerant projection,Mr Elliott Cooper,Reference,1961,5,2019-10-31,Missing,978-1-111-73670-5
978-1-256-76112-9,Centralized dynamic service-desk,Jacqueline Cooper,Children,1979,4,2025-10-14,Reserved,978-1-256-76112-9
978-1-233-00805-6,Re-engineered optimizing architecture,Oliver Abbott,Young Adult,1994,1,2022-01-31,Checked Out,978-1-233-00805-6
978-0-08-292482-1,Balanced homogeneous product,Mr Alex Ward,Non-Fiction,1986,3,2017-02-20,Reserved,978-0-08-292482-1
978-0-210-78831-8,Customizable systematic methodology,Dr Damian Khan,Children,1957,7,2020-08-15,Available,978-0-210-78831-8
978-1-365-48522-0,Enterprise-wide didactic framework,Mr Charlie Powell,Reference,1952,6,2025-09-06,Checked Out,978-1-365-48522-0
978-1-201-97084-2,Organic modular collaboration,Leslie Woodward,Fiction,1980,9,2022-11-25,Reserved,978-1-201-97084-2
978-1-4162-7963-1,Reactive intangible info-mediaries,Joel Conway,Reference,1987,3,2023-07-28,Reserved,978-1-4162-7963-1
978-1-129-55510-7,Organic demand-driven superstructure,Josephine Turner-Warner,Young Adult,2019,10,2025-07-09,Reserved,978-1-129-55510-7
978-1-108-19484-6,Ameliorated upward-trending system engine,Mohammad Davies,Children,1952,7,2018-07-16,Checked Out,978-1-108-19484-6
978-0-623-00360-2,Object-based real-time middleware,Caroline Atkinson,Fiction,1969,8,2022-04-05,Checked Out,978-0-623-00360-2
9780235028307,Visionary optimizing synergy,Ms Kathleen Browne,Fiction,1962,1,2022-11-05,Checked Out,9780235028307
978-1-243-75391-5,Assimilated full-range installation,Mrs Carole Wilson,Young Adult,1989,10,2020-01-30,Checked Out,978-1-243-75391-5
978-0-8091-6631-2,Down-sized hybrid knowledge user,Dr Stacey Wallace,Fiction,2015,1,2022-09-16,Reserved,978-0-8091-6631-2
978-1-968740-33-7,Versatile systematic strategy,Paul Patel,Children,1983,7,2022-12-30,Missing,978-1-968740-33-7
978-1-5441-0616-8,Automated content-based infrastructure,Rebecca Bradley,Reference,2024,3,2025-06-02,Damaged,978-1-5441-0616-8
978-1-970084-45-0,Self-enabling intermediate product,Zoe Griffiths,Young Adult,1956,7,2025-11-26,Available,978-1-970084-45-0
978-0-517-64296-2,Cross-platform non-volatile structure,Ronald Harper,Children,1953,7,2022-09-27,Available,978-0-517-64296-2
978-0-924115-05-9,Realigned value-added leverage,Andrea Dixon,Reference,1997,10,2020-09-05,Available,978-0-924115-05-9
978-1-996131-52-7,Organized bi-directional instruction set,Clive Roberts,Young Adult,1966,6,2024-12-22,Checked Out,978-1-996131-52-7
978-1-232-28058-3,Multi-lateral object-oriented encryption,Dr Wayne Ferguson,Non-Fiction,2006,6,2024-12-03,Checked Out,978-1-232-28058-3
978-1-74354-047-3,Upgradable cohesive encoding,Louis Smith,Children,1975,2,2019-01-05,Damaged,978-1-74354-047-3
978-0-539-50111-7,Persistent executive collaboration,Ben Henderson,Children,2007,2,2017-06-15,Available,978-0-539-50111-7
978-0-558-62778-2,Reduced tertiary functionalities,Duncan Mitchell,Young Adult,2017,0,2020-10-12,Reserved,978-0-558-62778-2
978-1-03-174890-1,Inverse background orchestration,Sean Davison,Young Adult,1955,7,2024-09-25,Missing,978-1-03-174890-1
978-0-458-80971-4,Multi-tiered didactic synergy,Andrea Day,Reference,1980,7,2018-07-14,Missing,978-0-458-80971-4
978-0-422-93554-8,Stand-alone next generation protocol,Conor Wright,Reference,2013,7,2019-01-28,Reserved,978-0-422-93554-8
978-0-05-596757-2,Public-key object-oriented matrices,Stewart Stokes,Non-Fiction,1974,9,2023-06-09,Missing,978-0-05-596757-2
978-0-13-798304-9,Proactive clear-thinking Internet solution,Mr Denis Cole,Reference,2005,3,2017-10-30,Damaged,978-0-13-798304-9
978-1-62745-116-1,Reactive client-driven middleware,Annette Vincent,Reference,1963,8,2018-02-06,Reserved,978-1-62745-116-1
978-1-897015-22-3,Extended bandwidth-monitored function,Joyce Carr,Children,1985,4,2016-11-16,Available,978-1-897015-22-3
978-0-368-96008-6,Distributed grid-enabled collaboration,Rebecca Lambert,Reference,2019,10,2024-04-01,Checked Out,978-0-368-96008-6
978-1-76128-989-7,Re-engineered web-enabled solution,Mr Jacob Wade,Reference,1996,7,2020-08-21,Missing,978-1-76128-989-7
978-0-7461-1399-8,Team-oriented neutral analyzer,Shane Dunn,Non-Fiction,2017,2,2025-05-07,Damaged,978-0-7461-1399-8
978-0-7156-0338-3,Front-line empowering implementation,Hugh Savage,Non-Fiction,1952,1,2022-05-09,Damaged,978-0-7156-0338-3
978-1-285-89868-1,Organic stable middleware,Roger Brooks-Mitchell,Children,1963,5,2017-03-15,Missing,978-1-285-89868-1
978-1-397-63090-2,Cloned dynamic capability,Keith Singh,Reference,1990,2,2021-02-01,Damaged,978-1-397-63090-2
978-1-379-49994-7,Progressive national protocol,Vincent Edwards-Davies,Children,2007,8,2022-10-06,Damaged,978-1-379-49994-7
